,NAME,time,mean_monthly_temp,lot,lon
149,"ASALOYEH, IR",2000-08-01T00:00:00.000000000,34.6813899564209,27.48,52.62
150,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2000-08-01T00:00:00.000000000,27.47228827804838,29.54,52.59
151,"PERSIAN GULF AIRPORT, IR",2000-08-01T00:00:00.000000000,-9999.99,27.37,52.73
152,"BANDAR ABBASS INTERNATIONAL, IR",2000-09-01T00:00:00.000000000,34.109179950615896,27.22,56.38
153,"ABADEH, IR",2000-09-01T00:00:00.000000000,23.91912514059129,31.18,52.67
154,"KERMAN, IR",2000-09-01T00:00:00.000000000,23.202779790678562,30.27,56.95
155,"RAFSANJAN, IR",2000-09-01T00:00:00.000000000,24.43736477961761,30.3,56.05
156,"LAMERD, IR",2000-09-01T00:00:00.000000000,33.349485254551496,27.37,53.19
157,"SIRJAN, IR",2000-09-01T00:00:00.000000000,25.56564364541441,29.47,55.72
158,"BUSHEHR, IR",2000-09-01T00:00:00.000000000,34.86357278026452,28.95,50.85
159,"YASOGE, IR",2000-09-01T00:00:00.000000000,24.858643861419466,30.67,51.58
160,"JAM, IR",2000-09-01T00:00:00.000000000,34.163574167590696,27.82,52.35
161,"BANDAR E DAYYER, IR",2000-09-01T00:00:00.000000000,34.605271796245916,27.83,51.93
162,"FASA, IR",2000-09-01T00:00:00.000000000,28.45940226693233,28.89,53.72
163,"LAR, IR",2000-09-01T00:00:00.000000000,32.26344914840058,27.67,54.38
164,"FARSI ISLAND, IR",2000-09-01T00:00:00.000000000,33.76363692305728,27.98,50.18
165,"BAFT, IR",2000-09-01T00:00:00.000000000,22.810869155549028,29.23,56.57
166,"GACHSARAN, IR",2000-09-01T00:00:00.000000000,33.52489585838765,30.34,50.83
167,"KHARG, IR",2000-09-01T00:00:00.000000000,34.719251715976554,29.27,50.27
168,"ASALOYEH, IR",2000-09-01T00:00:00.000000000,34.057602290527484,27.48,52.62
169,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2000-09-01T00:00:00.000000000,26.98953051949661,29.54,52.59
170,"PERSIAN GULF AIRPORT, IR",2000-09-01T00:00:00.000000000,-9999.99,27.37,52.73
171,"BANDAR ABBASS INTERNATIONAL, IR",2000-10-01T00:00:00.000000000,30.53145523058481,27.22,56.38
172,"ABADEH, IR",2000-10-01T00:00:00.000000000,21.615691922484018,31.18,52.67
173,"KERMAN, IR",2000-10-01T00:00:00.000000000,22.52355506081068,30.27,56.95
174,"RAFSANJAN, IR",2000-10-01T00:00:00.000000000,23.355064826083947,30.3,56.05
175,"LAMERD, IR",2000-10-01T00:00:00.000000000,30.017484095643283,27.37,53.19
176,"SIRJAN, IR",2000-10-01T00:00:00.000000000,23.747223669976336,29.47,55.72
177,"BUSHEHR, IR",2000-10-01T00:00:00.000000000,30.94377468793749,28.95,50.85
178,"YASOGE, IR",2000-10-01T00:00:00.000000000,21.33628658136064,30.67,51.58
179,"JAM, IR",2000-10-01T00:00:00.000000000,30.820130127716368,27.82,52.35
180,"BANDAR E DAYYER, IR",2000-10-01T00:00:00.000000000,31.329666158642567,27.83,51.93
181,"FASA, IR",2000-10-01T00:00:00.000000000,25.5948697745319,28.89,53.72
182,"LAR, IR",2000-10-01T00:00:00.000000000,29.068013683585832,27.67,54.38
183,"FARSI ISLAND, IR",2000-10-01T00:00:00.000000000,30.400474615778762,27.98,50.18
184,"BAFT, IR",2000-10-01T00:00:00.000000000,21.024700322800243,29.23,56.57
185,"GACHSARAN, IR",2000-10-01T00:00:00.000000000,29.332505167375643,30.34,50.83
186,"KHARG, IR",2000-10-01T00:00:00.000000000,31.04816426582869,29.27,50.27
187,"ASALOYEH, IR",2000-10-01T00:00:00.000000000,30.730087315532614,27.48,52.62
188,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2000-10-01T00:00:00.000000000,23.456940371353426,29.54,52.59
189,"PERSIAN GULF AIRPORT, IR",2000-10-01T00:00:00.000000000,-9999.99,27.37,52.73
190,"BANDAR ABBASS INTERNATIONAL, IR",2000-11-01T00:00:00.000000000,28.999622120492347,27.22,56.38
191,"ABADEH, IR",2000-11-01T00:00:00.000000000,15.451864803137141,31.18,52.67
192,"KERMAN, IR",2000-11-01T00:00:00.000000000,16.967284481786294,30.27,56.95
193,"RAFSANJAN, IR",2000-11-01T00:00:00.000000000,17.63045948872349,30.3,56.05
194,"LAMERD, IR",2000-11-01T00:00:00.000000000,27.092560811599014,27.37,53.19
195,"SIRJAN, IR",2000-11-01T00:00:00.000000000,18.668334990412404,29.47,55.72
196,"BUSHEHR, IR",2000-11-01T00:00:00.000000000,28.312255522323426,28.95,50.85
197,"YASOGE, IR",2000-11-01T00:00:00.000000000,15.699332597124112,30.67,51.58
198,"JAM, IR",2000-11-01T00:00:00.000000000,28.003209205107282,27.82,52.35
199,"BANDAR E DAYYER, IR",2000-11-01T00:00:00.000000000,28.783579290633895,27.83,51.93
200,"FASA, IR",2000-11-01T00:00:00.000000000,20.764210977470782,28.89,53.72
201,"LAR, IR",2000-11-01T00:00:00.000000000,25.183125974184236,27.67,54.38
202,"FARSI ISLAND, IR",2000-11-01T00:00:00.000000000,28.559503692933504,27.98,50.18
203,"BAFT, IR",2000-11-01T00:00:00.000000000,16.233684538643274,29.23,56.57
204,"GACHSARAN, IR",2000-11-01T00:00:00.000000000,24.503507107367568,30.34,50.83
205,"KHARG, IR",2000-11-01T00:00:00.000000000,28.32706007514247,29.27,50.27
206,"ASALOYEH, IR",2000-11-01T00:00:00.000000000,28.42636784158782,27.48,52.62
207,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2000-11-01T00:00:00.000000000,18.378021267876534,29.54,52.59
208,"PERSIAN GULF AIRPORT, IR",2000-11-01T00:00:00.000000000,-9999.99,27.37,52.73
209,"BANDAR ABBASS INTERNATIONAL, IR",2000-12-01T00:00:00.000000000,23.061725075895026,27.22,56.38
210,"ABADEH, IR",2000-12-01T00:00:00.000000000,7.112812702731333,31.18,52.67
211,"KERMAN, IR",2000-12-01T00:00:00.000000000,9.146397846564696,30.27,56.95
212,"RAFSANJAN, IR",2000-12-01T00:00:00.000000000,9.752987004264241,30.3,56.05
213,"LAMERD, IR",2000-12-01T00:00:00.000000000,20.77008589730542,27.37,53.19
214,"SIRJAN, IR",2000-12-01T00:00:00.000000000,11.053008506150434,29.47,55.72
215,"BUSHEHR, IR",2000-12-01T00:00:00.000000000,21.670521728516746,28.95,50.85
216,"YASOGE, IR",2000-12-01T00:00:00.000000000,7.58986194794511,30.67,51.58
217,"JAM, IR",2000-12-01T00:00:00.000000000,21.211527658410148,27.82,52.35
218,"BANDAR E DAYYER, IR",2000-12-01T00:00:00.000000000,22.421694106975167,27.83,51.93
